Name,Comment,Time,Likes,Reply Count,Status
@happyvivoyo2s935,A wise human being wont work with an ex convict 😊,2024-09-08T12:49:09Z,0,0,1
@user-sx5yw9qt9q,Muhyiddin just keeps smilling,2024-09-03T00:29:48Z,0,0,0
@RaviChandran-qn7nu,"PN is the worst choice for us, they can cause the country to be in a disastrous state and we won't be able to live in harmony.",2024-08-29T14:54:24Z,0,0,1
@richardchow4775,Please dont vote for PN,2024-08-19T10:47:08Z,0,0,1
@billyjoshchew7575,PH got the highest votes 80+ and PN made a false statement that they won...they got no shame at all,2024-08-19T07:34:08Z,0,0,1
@billyjoshchew7575,PN GREED OF POWER....THERE'S NO SYSTEM A LOSING POLICAL PARTY FORMS A GOVERNMENT...WITH OTHER SMALLER POLITICAL PARTIES....ONLY THE ONE WHO HOLDS THE MOST VOTES ABLE TO....I GUESSED HE DIDN'T READ THE CONSTITUTION LAW,2024-08-19T07:31:41Z,0,0,1
@AbdulRahim-om3bd,"Stupid announcement..PN just got 73 sits during announcement , how could Muhyidin declared to form a Government?",2023-08-26T07:07:38Z,0,0,1
@alexcheng3575,From this message look like still culture mind set as a PM the mind is full POSITIVE not negative how to represent Malaysia in European Union meeting if mind set not fully open to all culture become government administration that is FAIL and not successful,2023-08-14T23:00:48Z,0,0,1
@andrewdelacruz2064,"Sorry to say that it is NOT PN, but PH/BN/GPS/GPRS who are the biggest winners with a total of 148 seats against PN 74 seats. Muhyiddin is the biggest liar in Malaysian politics, when he said that PN has won the general election...Imstead, Malaysia, under the new and vibrant Prime Minister Anwar Ibrahim will make the country great again. Even the King has endorsed the win by PH/BN/GPS/GPRS!.And indeed, Anwar has done a remarkable job so far in his 8 months in power. Had Malaysia been ruled by PN/PAS,  it would be a disaster.",2023-08-10T00:50:07Z,0,0,1
@morganing9234,Top 10 reason why democratic around the world is falling as more individual capitalism rise,2023-05-04T03:22:46Z,0,0,0
@stephanruan1846,But who wants you in the first place? Counting your chickens before they were hatched.,2023-01-24T10:16:16Z,1,0,1
@stephanruan1846,"Muhyiddin then was counting his chicken before they were hatched (some lifeless eggs but he includes them as well) ""PAS"" encouraged him to ""PAS""s it on and be counted. Muhyiddin just simply wants the attention and status which go along with being the Prime Minister. There was overwhelming evidence, especially in the award of multi-billion assignments without going through proper tendering procedures including those given directly to within the family circles amounting to $60 billion or more and investigation had started. The Unity Government's role in getting rid of these corrupted top government officers is an uphill task which required great effort. Booting out those irresponsible law enforcers immediately was a correct decision,.otherwise, it will hinder the cleaning process of corruption within the government once and for all to start afresh for a better tomorrow for the country and its people.",2022-12-13T15:51:12Z,0,0,1
